extra_1,ошибки,домен,домен_корр,бе,бе_корр,цфо,мвз,суперпродукт,продукт_1с_ух,фин_клиент,ключевой_клиент,направление,екдр,pl_ручной_ввод,статья_pl,организация,домен_от_контрагента,бе_от_контрагента,контрагент,l_контрагент_1с_ух,id_сделки,бизнес_категория,проект,l_проект_1с_ух,проект_1с_ух_наименование,тип_проекта_1с_ух,комментарий,отв,ставка_ндс,не_рассчитывать_cf,cf_поквартально,cf_в_каком_месяце_признавать,смещение_сумм_cf_мес,pl_jan,pl_feb,pl_mar,pl_apr,pl_may,pl_jun,pl_jul,pl_aug,pl_sep,pl_oct,pl_nov,pl_dec,pl_fy,статья_cf_кодификатор,статья_cf_корректировка,статья_cf,cf_jan,cf_feb,cf_mar,cf_apr,cf_may,cf_jun,cf_jul,cf_aug,cf_sep,cf_oct,cf_nov,cf_dec,cf_fy,extra_64,extra_65,extra_66,extra_67,extra_68
#972,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Импортозамещение Терминальный доступ (Termidesk) для офиса,\N,0,true,false,\N,0,0,0,0,0,0,444444.44444444,444444.44444444,444444.44444444,444444.44444444,444444.44444444,444444.44444444,444444.44444444,3111111.1111111,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,0,0,0,16000000,0,0,0,0,0,0,16000000,35010000,CF05010000,3111111.11111108,16000000,CF05
#973,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Мультикарта_Департамент процессинга_Бюджет МВЗ,Мультикарта_Департамент процессинга_Бюджет МВЗ,Внутренние проекты,Импортозамещение пакета Офисного ПО (MS Office),\N,0,true,false,\N,0,0,0,0,0,0,0,0,0,83333.333333333,83333.333333333,83333.333333333,83333.333333333,333333.33333333,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,0,0,0,0,0,0,5000000,0,0,0,5000000,35010000,CF05010000,333333.333333332,5000000,CF05
#974,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Импортозамещение домена (ALD),\N,0,true,false,\N,0,0,0,0,0,0,141666.66666667,141666.66666667,141666.66666667,141666.66666667,141666.66666667,141666.66666667,141666.66666667,991666.66666667,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,8500000,0,0,0,0,0,0,8500000,35010000,CF05020000,991666.66666669,8500000,CF05
#975,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Импортозамещение средств бекапа,\N,0,true,false,\N,0,0,0,0,0,0,0,0,0,333333.33333333,333333.33333333,333333.33333333,333333.33333333,1333333.3333333,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,0,0,0,20000000,0,0,0,20000000,35010000,CF05020000,1333333.33333332,20000000,CF05
#976,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Мультикарта_Департамент процессинга_Бюджет МВЗ,Мультикарта_Департамент процессинга_Бюджет МВЗ,Внутренние проекты,Импортозамещение почтового сервиса (RuPost),\N,0,true,false,\N,0,0,0,0,0,0,0,0,0,116666.66666667,116666.66666667,116666.66666667,116666.66666667,466666.66666667,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,0,0,0,0,0,0,7000000,0,0,0,7000000,35010000,CF05010000,466666.66666668,7000000,CF05
#977,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент развития технологий,Департамент развития технологий,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Лицензионный ключ для обновления и сопровождения программого обеспечения TrackStudio Enterprise,\N,0,true,false,\N,0,0,31950,0,0,0,0,0,0,0,0,0,0,31950,\N,"CF02040200|Платежи за лицензии, за программное обеспечение","CF02040200|Платежи за лицензии, за программное обеспечение",0,31950,0,0,0,0,0,0,0,0,0,0,31950,35010000,CF02040000,0,0,CF02
#978,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Приобритение SSL сертификатов внешних УЦ_____,\N,0.22,true,false,\N,0,0,0,122950.81967213,0,0,122950.81967213,0,0,122950.81967213,0,0,122950.81967213,491803.27868852,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,150000,0,0,150000,0,0,150000,0,0,150000,600000,35010000,CF05020000,491803.27868852,600000,CF05
#979,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Приобритение ПО Крипто-Про для инфраструктуры МК,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,0,0,0,6830.6010928962,6830.6010928962,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,0,0,0,0,0,0,500000,500000,35010000,CF05020000,6830.6010928962,500000,CF05
#980,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Лицензия и Доработки Jet Detective_____,\N,0,true,false,\N,0,36480,36480,36480,72960,72960,72960,143560,143560,143560,214160,214160,214160,1401480,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",2188800,0,0,2188800,0,0,4236000,0,0,4236000,0,0,12849600,35010000,CF05020000,1328520,10660800,CF05
#981,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Приобритение системы статического и динамического анализа для выявления ВПО в почтовом и интернет трафике (Песочница),\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,0,0,0,0,0,0,0,0,0,23000000,23000000,35010000,CF05010000,0,23000000,CF05
#982,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Мультикарта_Департамент контроля рисков_Бюджет МВЗ,Мультикарта_Департамент контроля рисков_Бюджет МВЗ,Внутренние проекты,"Приобритение програмного комплекса класса ""DLP"" для контроля почтового и интерент трафика",\N,0.22,true,false,\N,0,0,0,252732.24043716,252732.24043716,252732.24043716,252732.24043716,252732.24043716,252732.24043716,252732.24043716,252732.24043716,252732.24043716,252732.24043716,2527322.4043716,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,18500000,0,0,0,0,0,0,0,0,0,18500000,35010000,CF05010000,2527322.4043716006,18500000,CF05
#983,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Приобритение решения класса WAF для защиты внешних ресурсов МК,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,0,0,0,1045081.9672131,1045081.9672131,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,0,0,0,0,0,0,15300000,15300000,35010000,CF05020000,1045081.9672131,15300000,CF05
#984,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,"Приобретение обновленных лицензий для продуктов «Notary-PRO », «Message-PRO »,«File-PRO» и «Admin-PKI»",\N,0.22,true,false,\N,0,0,0,0,0,0,4098.3606557377,4098.3606557377,4098.3606557377,4098.3606557377,4098.3606557377,4098.3606557377,4098.3606557377,28688.524590164,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,300000,0,0,0,0,0,0,300000,35010000,CF05020000,28688.524590163895,300000,CF05
#985,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Амортизация ранее купленных ОС,\N,0,true,false,\N,0,11082923.311852,10945984.871852,10945984.871852,10941007.521852,10935237.421852,10935237.421852,10935237.421852,10923327.481852,10389219.401852,10017898.401852,10017898.401852,10017898.401852,128087854.93222,\N,"CF05020101|Приобретение оборудования, техники и прочего производственного оборудования  свыше 40 т.р.","CF05020101|Приобретение оборудования, техники и прочего производственного оборудования  свыше 40 т.р.",0,0,0,0,0,0,0,0,0,0,0,0,0,35010000,CF05020000,106058946.74851999,0,CF05
#986,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,"Приобритение аппаратной платформы для решения класса ""DLP""",\N,0.22,true,false,\N,0,0,0,273224.04371585,273224.04371585,273224.04371585,273224.04371585,273224.04371585,273224.04371585,273224.04371585,273224.04371585,273224.04371585,273224.04371585,2732240.4371585,\N,"CF05020101|Приобретение оборудования, техники и прочего производственного оборудования  свыше 40 т.р.","CF05020101|Приобретение оборудования, техники и прочего производственного оборудования  свыше 40 т.р.",0,0,12000000,0,0,0,0,0,0,0,0,0,12000000,35010000,CF05020000,2732240.4371585,12000000,CF05
#987,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Серверы,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,546448.08743169,546448.08743169,546448.08743169,546448.08743169,2185792.3497268,\N,CF05020102|Серверное оборудование свыше 40 т.р.,CF05020102|Серверное оборудование свыше 40 т.р.,0,0,0,0,0,0,0,0,24000000,0,0,0,24000000,35010000,CF05020000,2185792.34972676,24000000,CF05
#988,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Серверы_2,\N,0.22,true,false,\N,0,0,0,182149.36247723,182149.36247723,182149.36247723,182149.36247723,182149.36247723,182149.36247723,182149.36247723,182149.36247723,182149.36247723,182149.36247723,1821493.6247723,\N,CF05020102|Серверное оборудование свыше 40 т.р.,CF05020102|Серверное оборудование свыше 40 т.р.,0,0,8000000,0,0,0,0,0,0,0,0,0,8000000,35010000,CF05020000,1821493.6247722995,8000000,CF05
#989,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Серверы_3,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,728597.44990892,728597.44990892,728597.44990892,728597.44990892,2914389.7996357,\N,CF05020102|Серверное оборудование свыше 40 т.р.,CF05020102|Серверное оборудование свыше 40 т.р.,0,0,0,0,0,0,0,0,32000000,0,0,0,32000000,35010000,CF05020000,2914389.79963568,32000000,CF05
#990,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Дисковые массивы,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,3642987.2495446,3642987.2495446,3642987.2495446,3642987.2495446,14571948.998179,\N,CF05020103|Системы хранения данных свыше 40 т.р.,CF05020103|Системы хранения данных свыше 40 т.р.,0,0,0,0,0,0,0,0,160000000,0,0,0,160000000,35010000,CF05020000,14571948.9981784,160000000,CF05
#991,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Сетевое оборудование (коммутаторы),\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,227686.70309654,227686.70309654,227686.70309654,227686.70309654,910746.81238616,\N,CF05020104|Сетевое оборудование свыше 40 т.р.,CF05020104|Сетевое оборудование свыше 40 т.р.,0,0,0,0,0,0,0,0,10000000,0,0,0,10000000,35010000,CF05020000,910746.81238616,10000000,CF05
#992,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Сетевое оборудование (FW),\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,455373.40619308,455373.40619308,455373.40619308,455373.40619308,1821493.6247723,\N,CF05020104|Сетевое оборудование свыше 40 т.р.,CF05020104|Сетевое оборудование свыше 40 т.р.,0,0,0,0,0,0,0,0,20000000,0,0,0,20000000,35010000,CF05020000,1821493.62477232,20000000,CF05
#993,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,NGate для Extranet,\N,0.22,true,false,\N,0,0,0,0,0,0,341530.05464481,341530.05464481,341530.05464481,341530.05464481,341530.05464481,341530.05464481,341530.05464481,2390710.3825137,\N,"CF05020101|Приобретение оборудования, техники и прочего производственного оборудования  свыше 40 т.р.","CF05020101|Приобретение оборудования, техники и прочего производственного оборудования  свыше 40 т.р.",0,0,0,0,0,15000000,0,0,0,0,0,0,15000000,35010000,CF05020000,2390710.38251367,15000000,CF05
#994,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010100 | Амортизация ОС,\N,35010100 | Амортизация материальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Мультикарта_Департамент процессинга_Бюджет МВЗ,Мультикарта_Департамент процессинга_Бюджет МВЗ,Внутренние проекты,Офисная техника дороже 40 тыс___руб___,\N,0.22,true,false,\N,0,0,0,0,0,0,170765.0273224,170765.0273224,170765.0273224,170765.0273224,170765.0273224,170765.0273224,341530.05464481,1366120.2185792,\N,CF05020105|Приобретение прочих ОС свыше 40 т.р.,CF05020105|Приобретение прочих ОС свыше 40 т.р.,0,0,0,0,0,7500000,0,0,0,0,0,7500000,15000000,35010000,CF05020000,1366120.21857921,15000000,CF05
#995,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Финансовый отдел_Мультикарта,Финансовый отдел_Мультикарта,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Амортизация НМА,\N,0,true,false,\N,0,19668816.271852,19668816.271852,19668816.271852,19668816.271852,19326732.191852,19326732.191852,18480853.801852,18308734.741852,18308734.741852,18281040.801852,18281040.801852,18218808.471852,227207942.83222,\N,"CF02040200|Платежи за лицензии, за программное обеспечение","CF02040200|Платежи за лицензии, за программное обеспечение",0,0,0,0,0,0,0,0,0,0,0,0,0,35010000,CF02040000,187870310.28852,0,CF02
#996,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020403 | Услуги по поддержке лицензионного ПО,\N,11020403 | Поддержка лицензионного ПО,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Процессинг,Поддержка ранее купленного ПО,\N,0.22,true,false,\N,0,1548647.06,1548647.06,1548647.06,1548647.06,1548647.06,1477394.42,1106859.75,711131.77,711131.77,711131.77,711131.77,711131.77,13883148.32,\N,CF02010400|Услуги по сопровождению/поддержке клиентов,CF02010400|Услуги по сопровождению/поддержке клиентов,0,0,0,0,0,0,0,0,0,0,0,0,0,11020000,CF02010000,10785854.199999997,0,CF02
#997,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020403 | Услуги по поддержке лицензионного ПО,\N,11020403 | Поддержка лицензионного ПО,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Продление подписки (лицензий) и техподдержки Сканера уязвимостей Redcheck до 1500 хостов,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,0,3688524.5901639,0,0,3688524.5901639,\N,CF02010300|Услуги по поддержке лицензионного ПО,CF02010300|Услуги по поддержке лицензионного ПО,0,0,0,0,0,0,0,0,0,4500000,0,0,4500000,11020000,CF02010000,3688524.5901639,4500000,CF02
#998,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020403 | Услуги по поддержке лицензионного ПО,\N,11020403 | Поддержка лицензионного ПО,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Продление технической поддержки Нетхаб (замена Skybox),\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,0,0,5081967.2131147,0,5081967.2131147,\N,CF02010300|Услуги по поддержке лицензионного ПО,CF02010300|Услуги по поддержке лицензионного ПО,0,0,0,0,0,0,0,0,0,0,6200000,0,6200000,11020000,CF02010000,5081967.2131147,6200000,CF02
#999,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент контроля рисков,Департамент контроля рисков,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020403 | Услуги по поддержке лицензионного ПО,\N,11020403 | Поддержка лицензионного ПО,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,"Продление подписки (лицензий) и техподдержки «Notary-PRO », «Message-PRO »,«Fi1e-PRO» и «Admin-PKI»",\N,0,true,false,\N,0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000,\N,CF02010300|Услуги по поддержке лицензионного ПО,CF02010300|Услуги по поддержке лицензионного ПО,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000,11020000,CF02010000,150000,150000,CF02
