номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
"Поступление (акт, накладная, УПД) МКУХ-005215 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002331 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005215,01.03.2026 23:59:59,Услуги,ИСТ ООО,1831084185,183101001,Договор 3757 от 06.06.11,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Услуги связи интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,766.66,16100,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005216 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002332 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005216,01.03.2026 23:59:59,Услуги,Русская компания,7224079602,720301001,Договор №202208.1430/ВЛО от 10.08.2022,202208.1430/ВЛО,01622/22,26.08.2022 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148524,ДО,руб.,1,Услуги от поставщика,Организация выделенной линии интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2098.8,11638.8,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005241 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002365 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005241,01.03.2026 23:59:59,Услуги,ИИАТ ООО,7702217896,770201001,Договор № 442 от 06.12.2018,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,аб.плата услуг связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,880,4880,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005242 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002368 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005242,01.03.2026 23:59:59,Услуги,ЭлектронТелеком,7802184161,780201001,Договор № Ком\1772 от 15.12.2021,Ком\1772,ФУ 01704/МК,17.05.2022 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148210,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1995.86,11068,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005243 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002369 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005243,01.03.2026 23:59:59,Услуги,МКС ООО (ИНН 9402011009),9402011009,940301001,697/10-24 от 31.07.2024,697/10-24,MK24-08-12-LC,06.08.2024 10:29:33,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000158465,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,277.83,1540.68,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005244 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002370 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005244,01.03.2026 23:59:59,Услуги,УДАЧНЫЙ ВЫБОР ООО (Контрагент МультиКарты),7710489237,781101001,Договор №171218-107014 от 17.12.2018,\N,\N,\N,\N,\N,\N,\N,\N,руб.,2,Услуги от поставщика,Экспресс доставка,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,408.98,2268,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),Логистические расходы (11020411)
МКУХ-005244,01.03.2026 23:59:59,Услуги,УДАЧНЫЙ ВЫБОР ООО (Контрагент МультиКарты),7710489237,781101001,Договор №171218-107014 от 17.12.2018,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Экспресс доставка,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,432.79,2400,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
"Поступление (акт, накладная, УПД) МКУХ-005247 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002374 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005247,01.03.2026 23:59:59,Услуги,МТРЕНД ООО,2634081081,263101001,Договор МК СПБ-12-02 от 01.04.2012,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,396.73,2200,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005248 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002375 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005248,01.03.2026 23:59:59,Услуги,МТС ПАО КПП 997750001,7740000076,997750001,Договор № Н15942 от 25.01.2012,\N,\N,\N,\N,\N,\N,\N,\N,руб.,2,Услуги от поставщика,Услуги связи,Мультикарта_Департамент процессинга_Бюджет МВЗ,Департамент процессинга,22%,3080.44,17082.43,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
МКУХ-005248,01.03.2026 23:59:59,Услуги,МТС ПАО КПП 997750001,7740000076,997750001,Договор № Н15942 от 25.01.2012,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,964215.65,5347014.08,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005253 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002380 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005253,01.03.2026 23:59:59,Услуги,ЦС ООО,3664252480,366401001,Договор №CS000604 от 22.11.2024,CS000604,MK24-10-44-LC,31.10.2024 12:40:39,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000171326,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2420,13420,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005254 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002381 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005254,01.03.2026 23:59:59,Услуги,ТЕЛЕКОМ-СЕРВИС ООО,6311072390,631701001,Договор №453 И от 01.03.2018г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,32.29,678,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005255 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002382 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005255,01.03.2026 23:59:59,Услуги,ООО СМАРТ ТЕЛЕКОМ,7825365252,784201001,Договор №19791/07/14-С от 01.07.2014,19791/07/14-С,9428/МК,25.08.2014 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147744,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,4347.28,24107.59,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005256 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002383 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005256,01.03.2026 23:59:59,Услуги,ПРОЦЕССНЫЕ ТЕХНОЛОГИИ ООО,7727179931,772701001,Договор №МК23-021 от 22.03.2023,МК23-021,000220/ФУ,22.03.2023 0:00:00,Блок развития бизнеса_Мультикарта,CF02011000 Прочий субподряд,Прочий субподряд,00ДО-0000150757,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Работы за период с «02» февраля 2026 г. по «27» февраля 2026 г.,Договор № SSP240229OL1 от 26.03.2024,Департамент реализации проектов и поддержки клиентов,22%,255022.17,1414213.84,Да,\N,\N,20.01,ПР: авторизации,Услуги по заказной разработке ПО (11020406)
"Поступление (акт, накладная, УПД) МКУХ-005260 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002385 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005260,01.03.2026 23:59:59,Услуги,ЦЕНТРАЛЬНЫЙ ТЕЛЕГРАФ ПАО,7710146208,775101001,Договор N 1.1-500514 от 03.06.10,1.1-500514,2171/МК,29.06.2010 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000149374,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,770,4270,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005263 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002422 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005263,01.03.2026 23:59:59,Услуги,МИРАНДА-МЕДИА ООО,7702527584,910201001,И2406 от 24.01.2025,И2406,MK24-11-51-LC,29.11.2024 14:09:01,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000176014,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,108985.08,604366.6,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005265 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002424 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005265,01.03.2026 23:59:59,Услуги,МИРАНДА-МЕДИА ООО,7702527584,910201001,К911 от 15.06.2025,К911,MK25-06-33-LC,02.06.2025 16:23:09,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000198688,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,65667.12,364153.77,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005267 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002426 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005267,01.03.2026 23:59:59,Услуги,УФАНЕТ АО,278109628,27801001,Договор №RK9420-11 от 27/10/11,RK9420-11,313/МК,16.01.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000146737,ДО,руб.,1,Услуги от поставщика,Услуги связи(подключение),Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,180.33,1000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005270 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002429 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005270,01.03.2026 23:59:59,Услуги,ТЕЛКО ЗАО,2636033069,263401001,Договор №ТЛК-УН-5609 от 08.09.2017,ТЛК-УН-5609,2080/МК,27.02.2018 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000149177,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,7%,6001.73,91740,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005271 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002430 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005271,01.03.2026 23:59:59,Услуги,БИЗНЕСКОНТАКТ AO,7722553871,772201001,№83/25/2 от 21.03.2025,№83/25/2,MK25-03-16-LLС,13.03.2025 15:11:45,Административный департамент ЦСП,"CF02050101 Платежи по аренде зданий, офисов, складских помещений","Расходы по аренде зданий, офисов, складских помещений",00ДО-0000189998,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Переменная часть аренды за 1-22 февраль 2026 г. по договору№83/25/2 от 21.03.2025,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,1856.38,10294.47,Да,\N,\N,26,"Расходы по аренде зданий, офисов, складских помещений (220301011)",\N
"Поступление (акт, накладная, УПД) МКУХ-005272 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002431 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005272,01.03.2026 23:59:59,Услуги,БИЗНЕСКОНТАКТ AO,7722553871,772201001,№83/25/2 от 21.03.2025,№83/25/2,MK25-03-16-LLС,13.03.2025 15:11:45,Административный департамент ЦСП,"CF02050101 Платежи по аренде зданий, офисов, складских помещений","Расходы по аренде зданий, офисов, складских помещений",00ДО-0000189998,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Аренда помещения по договору аренды №83/25/2 от 21.03.2025 за 1-22 февраль 2026 г.,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,10933.46,60631,Да,\N,\N,26,"Расходы по аренде зданий, офисов, складских помещений (220301011)",\N
"Поступление (акт, накладная, УПД) МКУХ-005273 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002432 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005273,01.03.2026 23:59:59,Услуги,АССИСТ,7825478305,780601001,Договор №МК17-135 от 25.12.2017,МК17-135,216,02.03.2021 0:00:00,Блок развития бизнеса_Мультикарта,CF02010400 Услуги по сопровождению/поддержке клиентов,Услуги по сопровождению/поддержке клиентов,00ДО-0000150883,ДО,руб.,1,Услуги от поставщика,Услуги от поставщика  IPSP,МУЛЬТИКАРТА_11_IPSP,Центр сопровождения клиентов,22%,3185.27,17663.77,Да,\N,\N,20.01,ПР: авторизации,Прочий субподряд (11020410)
"Поступление (акт, накладная, УПД) МКУХ-005274 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002433 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005274,01.03.2026 23:59:59,Услуги,АССИСТ,7825478305,780601001,Договор №МК17-135 от 25.12.2017,МК17-135,216,02.03.2021 0:00:00,Блок развития бизнеса_Мультикарта,CF02010400 Услуги по сопровождению/поддержке клиентов,Услуги по сопровождению/поддержке клиентов,00ДО-0000150883,ДО,руб.,1,Услуги от поставщика,Услуги от поставщика  IPSP,МУЛЬТИКАРТА_11_IPSP,Центр сопровождения клиентов,22%,68302.89,378770.59,Да,\N,\N,20.01,ПР: авторизации,Прочий субподряд (11020410)
"Поступление (акт, накладная, УПД) МКУХ-005275 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002434 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005275,01.03.2026 23:59:59,Услуги,ЧЕЧЕНТЕЛЕКОМ ООО,2015008743,201501001,Договор № 034 от 29.03.2022 г,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,20035.71,111107.14,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005282 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002438 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005282,01.03.2026 23:59:59,Услуги,СОФТИНФОРМ ООО,7017198320,701701001,Договор МК22-084 от 04.08.2022,МК22-084,ФУ 04648/МК,28.11.2022 0:00:00,Блок развития бизнеса_Мультикарта,CF02011000 Прочий субподряд,Прочий субподряд,00ДО-0000150689,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Работы по Аналитике,МУЛЬТИКАРТА_11_ПСР,Департамент реализации проектов и поддержки клиентов,7%,31323.36,478800,Да,\N,\N,20.01,ПР: авторизации,Услуги по заказной разработке ПО (11020406)
"Поступление (акт, накладная, УПД) МКУХ-005283 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002439 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005283,01.03.2026 23:59:59,Услуги,ССП-СОФТ ООО,9724033448,772401001,Договор №МК22-097 от 04.08.2022г.,МК22-097,ФУ 04662/МК,28.11.2022 0:00:00,Блок развития бизнеса_Мультикарта,CF02010600 Услуги по заказной разработке ПО,Услуги по заказной разработке ПО,00ДО-0000150797,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Работы по разработке Java и ручному тестированию ПО,МУЛЬТИКАРТА_11_ПСР,Департамент реализации проектов и поддержки клиентов,22%,269712.79,1495680,Да,\N,\N,20.01,ПР: авторизации,Услуги по заказной разработке ПО (11020406)
"Поступление (акт, накладная, УПД) МКУХ-005284 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002440 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005284,01.03.2026 23:59:59,Услуги,ОРИЕНТ-ТЕЛЕКОМ АО,3808047630,380801001,Договор №1552-04 от 01.01.2013г.,1552-04,4448/МК,23.05.2013 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148864,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,330,1830,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005295 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002477 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005295,01.03.2026 23:59:59,Услуги,ЛТК ООО,9402004604,940201001,Договор № 570317 на оказание услуг связи от 01.10.2024,570317,24-07-6-LC,03.07.2024 15:18:54,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000155201,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,25804.17,143095.65,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005296 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002478 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005296,01.03.2026 23:59:59,Услуги,СМС ТРАФИК ООО,7705642257,772301001,МК25-003 от 13.02.2025,МК25-003,MK25-01-3-LC,31.01.2025 11:06:12,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000184492,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,15840,87840,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005297 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002479 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005297,01.03.2026 23:59:59,Услуги,СМС ТРАФИК ООО,7705642257,772301001,МК25-003 от 13.02.2025,МК25-003,MK25-01-3-LC,31.01.2025 11:06:12,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000184492,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,119283.31,661480.22,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005298 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002480 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005298,01.03.2026 23:59:59,Услуги,СМС ТРАФИК ООО,7705642257,772301001,МК25-003 от 13.02.2025,МК25-003,MK25-01-3-LC,31.01.2025 11:06:12,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000184492,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,178546.1,990119.29,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005299 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002481 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
