employee_id,snapshot_date,hire_date,termination_date,attrition_90d,contact_center,project,team,tenure_months,shift_type,workload_pct,overtime_hours_30d,absence_days_90d,late_shifts_90d,schedule_adherence_pct,productivity_score,quality_score,csat_score,engagement_score,manager_changed_90d,training_hours_90d,exit_reason
SYN-00604,2025-05-04,2021-08-23,,0,Москва,Продажи,Команда 10,45,Ночная,81.91,19.69,2,0,89.38,74.93,90.61,4.54,73.52,0,9.34,
SYN-00605,2024-03-04,2020-09-21,,0,Москва,Удержание,Команда 09,42,Ночная,110.88,7.15,0,0,97.17,93.22,85.74,4.36,76.48,0,12.51,
SYN-00606,2025-07-05,2022-10-19,,0,Омск,Поддержка,Команда 07,33,Дневная,87.42,8.84,1,1,86.55,75.88,84.53,4.54,57.23,0,1.92,
SYN-00607,2024-11-04,2024-04-08,2024-12-04,1,Москва,Удержание,Команда 04,7,Ночная,99.04,11.11,0,0,97.35,92.32,86.46,4.19,36.93,1,18.27,Низкая вовлечённость
SYN-00608,2025-08-15,2020-09-10,,0,Москва,Продажи,Команда 09,60,Смешанная,72.22,17.84,5,0,87.85,80.23,82.44,4.9,70.45,0,13.37,
SYN-00609,2025-08-16,2024-01-24,2025-10-13,1,Омск,Поддержка,Команда 06,19,Дневная,86.67,9.2,10,1,78.99,93.71,81.87,4.32,82.41,0,2.08,Смена работодателя
SYN-00610,2024-08-05,2024-03-08,,0,Омск,Удержание,Команда 10,5,Дневная,79.27,0.23,0,2,96.08,96.95,80.6,4.42,61.35,0,6.31,
SYN-00611,2024-09-17,2024-02-20,2024-10-29,1,Москва,Удержание,Команда 08,7,Смешанная,79.47,16.05,1,1,89.27,81.4,86.42,4.67,62.48,0,7.04,Смена работодателя
SYN-00612,2026-03-12,2026-01-11,2026-05-20,1,Москва,Поддержка,Команда 07,2,Дневная,83.58,10.57,4,3,79.26,75.73,89.37,3.88,79.16,0,2.77,Личные причины
SYN-00613,2025-04-17,2021-04-08,,0,Омск,Поддержка,Команда 01,49,Дневная,82.38,23.02,3,0,94.15,85.64,93.27,4.46,66.3,0,0,
SYN-00614,2025-03-14,2021-07-03,,0,Москва,Поддержка,Команда 03,45,Дневная,79.46,2.9,9,2,75.01,79.68,90.9,4.41,52.83,1,10.68,
SYN-00615,2024-04-02,2021-09-15,,0,Омск,Продажи,Команда 05,31,Дневная,102.67,11.91,1,1,99.12,67.15,78.74,4.53,78.33,0,8.81,
SYN-00616,2025-07-18,2023-10-27,,0,Москва,Продажи,Команда 06,21,Дневная,93.87,30.15,1,7,85.33,83.45,95.59,4.94,58.93,0,3.65,
SYN-00617,2024-08-02,2021-04-20,,0,Казань,Удержание,Команда 03,40,Дневная,85.16,0,1,2,96.56,85.27,78.9,4.58,83.25,0,1.7,
SYN-00618,2025-12-08,2023-10-20,,0,Москва,Поддержка,Команда 09,26,Дневная,75.01,19.84,7,3,67.13,62.87,90.56,4.59,53.47,0,7.25,
SYN-00619,2025-07-16,2025-06-16,2025-10-04,1,Москва,Удержание,Команда 12,1,Ночная,83.27,11.34,1,1,90.26,82.52,85.45,4.11,57.44,0,6.73,Смена графика
SYN-00620,2025-11-17,2025-06-20,,0,Омск,Продажи,Команда 04,5,Дневная,77.85,15.79,4,0,82.36,92.04,88.33,4.78,65.89,0,0.95,
SYN-00621,2024-04-11,2023-03-18,,0,Омск,Удержание,Команда 03,13,Ночная,87.84,17.59,1,1,90.01,88.39,86.84,4.31,66.98,0,8.61,
SYN-00622,2025-11-13,2021-07-07,,0,Омск,Удержание,Команда 12,53,Дневная,71.17,7.96,4,0,87.33,70.06,86.8,4.67,70.16,0,2.46,
SYN-00623,2025-11-08,2021-08-01,,0,Москва,Продажи,Команда 06,52,Дневная,77.25,4.18,1,0,86.4,79.02,70.48,4.74,64.73,0,16.39,
SYN-00624,2024-11-06,2022-06-20,,0,Омск,Удержание,Команда 09,29,Дневная,89.89,16.79,1,0,92.82,73.29,76.01,4.39,40.91,0,4.76,
SYN-00625,2024-07-07,2023-02-13,2024-09-11,1,Омск,Продажи,Команда 08,17,Дневная,95.69,5.71,1,0,88.95,70.38,83.32,4.39,73.05,0,16.11,Смена работодателя
SYN-00626,2024-12-01,2024-11-01,,0,Москва,Поддержка,Команда 08,1,Дневная,83.14,11.81,1,3,89.52,74.22,84.12,4.06,64.05,0,6.79,
SYN-00627,2024-12-17,2021-04-07,,0,Омск,Продажи,Команда 06,45,Ночная,108.83,20.36,0,3,86.07,85.12,90.91,4.13,72.9,0,1.14,
SYN-00628,2024-07-15,2021-11-28,,0,Москва,Продажи,Команда 10,32,Ночная,87.85,9.13,0,1,92.12,65.59,86.49,4.34,80.84,0,4.67,
SYN-00629,2025-07-09,2024-12-11,,0,Казань,Продажи,Команда 05,7,Дневная,88.04,9.72,0,1,90.32,86.05,83.79,4.69,82.12,0,4.76,
SYN-00630,2024-02-14,2020-07-04,,0,Омск,Удержание,Команда 04,44,Дневная,78.24,22.82,0,3,90.82,67.64,100,4.03,56.33,0,0.27,
SYN-00631,2025-07-13,2022-10-27,,0,Москва,Поддержка,Команда 03,33,Дневная,68.35,18.64,3,0,87.2,75.31,84.1,4.32,64.77,0,8.04,
SYN-00632,2024-05-12,2021-12-24,,0,Казань,Поддержка,Команда 12,29,Смешанная,75.4,10.64,1,1,91.79,72.58,91.69,4.54,74.53,0,1.08,
SYN-00633,2025-07-15,2023-09-24,,0,Москва,Поддержка,Команда 05,22,Ночная,80.19,14.7,6,2,88.72,80.27,91.73,4.09,65.75,0,4.47,
SYN-00634,2025-06-04,2025-01-05,,0,Казань,Поддержка,Команда 04,5,Ночная,83.5,0,9,5,80.44,78.86,71.59,3.98,68.79,0,8.25,
SYN-00635,2024-10-08,2024-09-08,2024-10-17,1,Казань,Удержание,Команда 11,1,Ночная,90.36,22.21,6,7,81.43,91.26,84.98,4.06,54.84,0,9.97,Низкая вовлечённость
SYN-00636,2025-02-09,2021-03-02,,0,Омск,Удержание,Команда 04,48,Смешанная,74.35,23.19,0,0,100,76.16,81.53,4.6,71.84,0,0.68,
SYN-00637,2024-10-10,2020-06-03,,0,Омск,Удержание,Команда 10,53,Дневная,79.69,11.14,4,0,83.78,58.11,88.54,3.77,60.84,1,10.74,
SYN-00638,2025-01-20,2023-11-27,,0,Казань,Поддержка,Команда 08,14,Смешанная,98.29,17.76,0,2,90.29,73.69,88.32,3.87,65.95,0,5.21,
SYN-00639,2024-03-08,2024-01-08,,0,Казань,Поддержка,Команда 04,2,Смешанная,82.79,29.0,1,0,89.85,84.48,79.38,4.73,50.06,0,0,
SYN-00640,2024-12-19,2023-02-28,,0,Омск,Продажи,Команда 10,22,Дневная,89.45,16.47,0,0,96.28,75.34,98.79,4.23,68.28,0,7.68,
SYN-00641,2025-12-02,2025-02-05,2025-12-16,1,Казань,Поддержка,Команда 02,10,Дневная,60.62,7.58,1,8,82.07,86.1,86.87,4.08,70.16,0,4.2,Смена работодателя
SYN-00642,2024-08-07,2024-07-08,,0,Омск,Продажи,Команда 10,1,Смешанная,104.25,18.67,1,2,92.34,72.07,83.91,4.03,60.91,1,5.54,
SYN-00643,2025-02-05,2020-05-02,,0,Омск,Поддержка,Команда 01,58,Дневная,79.18,5.16,1,1,93.06,92.07,77.2,5,65.02,0,0,
SYN-00644,2024-06-07,2022-03-20,,0,Москва,Поддержка,Команда 08,27,Дневная,94.09,0.67,2,0,92.68,83.78,84.19,4.51,59.17,0,18.47,
SYN-00645,2025-03-20,2024-08-22,,0,Казань,Продажи,Команда 08,7,Ночная,98.5,26.43,2,0,92.82,83.73,77.61,4.39,65.02,0,9.88,
SYN-00646,2025-06-15,2020-07-11,,0,Казань,Удержание,Команда 04,60,Смешанная,85.88,4.05,0,1,94.96,78.84,80.69,4.16,65.55,1,4.62,
SYN-00647,2025-04-13,2020-07-08,,0,Омск,Продажи,Команда 12,58,Дневная,97.08,11.72,6,1,87.12,86.72,88.76,4.72,78.3,0,12.53,
SYN-00648,2025-10-05,2020-10-31,,0,Омск,Удержание,Команда 11,60,Смешанная,87.15,10.4,0,0,88.81,75.15,93.38,4.57,27.69,0,4.78,
SYN-00649,2024-04-18,2022-03-30,,0,Казань,Удержание,Команда 11,25,Дневная,85.26,7.14,0,1,93.91,86.16,85.62,4.69,85.38,0,12.92,
SYN-00650,2025-03-14,2020-10-06,,0,Омск,Продажи,Команда 08,54,Дневная,116.21,18.39,1,0,92.88,88.9,84.82,4.43,72.1,0,4.64,
SYN-00651,2025-03-17,2024-04-21,,0,Казань,Поддержка,Команда 08,11,Дневная,94.54,15.03,1,1,94.74,87.28,84.5,3.74,77.33,1,9.17,
SYN-00652,2025-06-16,2023-04-28,,0,Казань,Поддержка,Команда 01,26,Дневная,94.26,20.14,2,0,95.65,88.81,84.69,4.32,67.67,0,8.61,
SYN-00653,2024-01-08,2023-10-10,2024-02-29,1,Москва,Удержание,Команда 07,3,Смешанная,98.58,14.38,2,0,93.13,79.71,84.96,3.92,71.62,0,0,Смена работодателя
SYN-00654,2025-05-08,2023-02-18,,0,Москва,Продажи,Команда 02,27,Смешанная,73.15,19.09,0,1,88.78,90.93,80.63,4.46,73.02,0,7.12,
SYN-00655,2024-04-19,2020-02-10,,0,Москва,Поддержка,Команда 07,51,Дневная,89.92,10.25,2,0,91.38,87.38,77.55,4.77,64.65,0,0.78,
SYN-00656,2024-07-03,2021-04-20,,0,Москва,Удержание,Команда 05,39,Дневная,80.2,19.97,3,0,83.09,97.98,81.65,4.13,52.02,0,19.98,
SYN-00657,2025-10-07,2021-09-28,,0,Омск,Удержание,Команда 10,49,Дневная,81.48,0.65,1,1,96.71,69.86,80.1,4.12,56.86,1,5.27,
SYN-00658,2025-11-11,2024-05-20,,0,Москва,Поддержка,Команда 04,18,Дневная,68.65,3.96,1,0,90.58,75.92,90.85,4.72,56.95,0,1.47,
SYN-00659,2025-09-06,2023-05-20,,0,Омск,Продажи,Команда 08,28,Ночная,83.92,8.94,2,0,96.74,78.24,77.38,4.18,76.14,0,5.91,
SYN-00660,2024-08-03,2020-01-27,,0,Омск,Поддержка,Команда 05,55,Смешанная,95.51,4.35,2,0,91.22,60.63,78.68,3.76,74.0,0,0.47,
SYN-00661,2025-08-01,2021-06-23,,0,Омск,Продажи,Команда 04,50,Дневная,84.01,20.55,4,0,85.48,84.61,85.76,4.48,77.75,0,0.69,
SYN-00662,2024-10-07,2021-05-26,2024-12-29,1,Казань,Удержание,Команда 03,41,Ночная,99.95,15.97,14,3,70.78,69.51,85.71,4.75,59.9,0,6.39,Смена графика
SYN-00663,2025-07-17,2021-04-09,,0,Москва,Продажи,Команда 03,52,Дневная,110.68,9.49,0,0,95.09,76.78,92.05,4.31,68.76,0,3.29,
SYN-00664,2024-05-06,2020-09-24,,0,Москва,Продажи,Команда 04,44,Дневная,86.67,0,4,0,86.33,94.91,87.43,4.28,53.91,0,8.55,
SYN-00665,2025-04-13,2022-10-26,,0,Москва,Удержание,Команда 01,30,Дневная,77.8,16.47,1,2,96.67,74.1,85.95,4.48,72.55,0,5.71,
SYN-00666,2025-03-10,2022-07-24,2025-06-03,1,Омск,Продажи,Команда 07,32,Смешанная,109.23,4.8,1,0,94.58,90.88,89.99,4.5,78.39,0,2.24,Смена работодателя
SYN-00667,2025-06-06,2022-04-23,,0,Москва,Удержание,Команда 01,38,Дневная,84.25,8.31,1,3,91.28,64.91,94.17,3.96,87.53,0,0,
SYN-00668,2026-01-15,2022-12-02,,0,Москва,Поддержка,Команда 02,38,Смешанная,80.45,0,3,1,87.9,82.82,92.48,4.26,92.16,0,0,
SYN-00669,2025-02-07,2022-09-21,2025-04-13,1,Москва,Удержание,Команда 11,29,Дневная,70.55,11.4,1,1,95.57,85.85,88.56,4.24,56.43,1,7.89,Смена работодателя
SYN-00670,2024-10-03,2024-03-07,,0,Казань,Удержание,Команда 12,7,Смешанная,81.42,16.69,0,0,94.3,70.23,89.53,4.09,77.54,0,6.73,
SYN-00671,2024-10-02,2022-11-12,,0,Казань,Поддержка,Команда 04,23,Дневная,95.42,11.32,1,3,84.24,79.48,83.34,4.43,56.27,1,9.89,
SYN-00672,2026-01-09,2021-12-31,,0,Омск,Поддержка,Команда 02,49,Ночная,105.93,4.74,3,0,85.04,82.05,92.45,4.21,95.8,0,6.63,
SYN-00673,2024-03-08,2021-05-23,2024-03-27,1,Москва,Продажи,Команда 12,34,Смешанная,102.68,16.34,0,0,97.65,87.57,99.56,3.98,49.54,1,15.4,Низкая вовлечённость
SYN-00674,2025-09-17,2025-02-19,,0,Казань,Поддержка,Команда 11,7,Смешанная,92.84,18.81,3,1,93.49,84.89,93.3,4.4,87.33,0,15.01,
SYN-00675,2025-12-20,2021-06-14,,0,Омск,Поддержка,Команда 02,55,Смешанная,89.67,22.06,4,0,85.63,98.66,81.69,4.63,48.21,0,3.33,
SYN-00676,2024-06-18,2023-07-24,,0,Москва,Поддержка,Команда 12,11,Смешанная,89.51,11.59,2,0,92.18,77.34,77.5,4.22,75.01,1,5.49,
SYN-00677,2024-02-17,2019-10-11,,0,Москва,Продажи,Команда 08,53,Ночная,89.06,16.17,6,1,83.35,81.67,97.05,4.01,51.5,1,2.05,
SYN-00678,2025-11-11,2021-05-06,,0,Казань,Продажи,Команда 02,55,Ночная,109.43,23.29,0,1,93.67,90.01,79.22,4.29,66.61,0,3.34,
SYN-00679,2024-04-04,2022-06-14,,0,Казань,Удержание,Команда 12,22,Смешанная,88.13,19.05,4,2,84.66,76.62,86.93,4.21,69.51,0,9.52,
SYN-00680,2025-06-16,2022-04-03,,0,Омск,Поддержка,Команда 08,39,Ночная,81.76,0.64,0,3,98.71,74.11,92.89,4.49,43.33,0,10.43,
SYN-00681,2025-11-17,2025-08-19,,0,Казань,Продажи,Команда 12,3,Ночная,83.95,11.99,1,0,96.6,100,84.42,4.45,53.1,0,4.62,
SYN-00682,2026-01-18,2024-11-24,,0,Омск,Продажи,Команда 05,14,Дневная,72.42,21.52,1,0,90.66,68.65,82.86,4.08,73.53,0,5.77,
SYN-00683,2025-11-09,2021-01-04,,0,Москва,Продажи,Команда 09,59,Смешанная,99.17,19.64,1,0,89.61,97.04,82.35,3.97,47.28,1,12.1,
SYN-00684,2024-05-13,2022-07-23,,0,Казань,Продажи,Команда 02,22,Дневная,102.15,11.25,0,0,94.22,71.55,72.97,4.41,60.52,0,11.06,
SYN-00685,2025-04-01,2023-12-08,,0,Москва,Поддержка,Команда 07,16,Ночная,84.93,10.22,0,5,90.14,78.42,87.95,4.29,96.19,0,5.03,
SYN-00686,2025-09-09,2025-07-11,,0,Москва,Продажи,Команда 01,2,Ночная,104.77,10.84,4,0,95.09,73.74,83.31,4.43,62.86,0,7.39,
SYN-00687,2024-12-16,2020-02-11,,0,Казань,Поддержка,Команда 10,59,Ночная,79.43,13.73,2,3,92.79,86.93,89.46,4.39,58.96,0,5.16,
SYN-00688,2025-03-17,2021-11-03,,0,Омск,Удержание,Команда 11,41,Дневная,86.45,14.17,4,1,82.71,72.37,95.7,4.74,62.46,0,0,
SYN-00689,2025-08-07,2021-12-26,,0,Москва,Удержание,Команда 09,44,Смешанная,81.3,11.11,7,2,84.24,94.18,92.8,4.22,65.32,1,10.91,
SYN-00690,2026-02-17,2023-01-04,,0,Казань,Продажи,Команда 03,38,Дневная,57.18,4.01,1,0,91.43,92.37,94.29,4.82,100,0,11.02,
SYN-00691,2025-05-05,2023-03-17,,0,Казань,Поддержка,Команда 07,26,Дневная,97.48,0,5,0,84.07,97.03,72.67,4.41,58.98,0,0,
SYN-00692,2025-03-12,2024-07-15,,0,Казань,Поддержка,Команда 05,8,Дневная,82.07,11.8,3,3,81.75,66.54,85.75,3.78,65.9,0,8.97,
SYN-00693,2025-08-14,2024-12-17,2025-09-19,1,Казань,Продажи,Команда 03,8,Смешанная,115.46,26.06,0,3,93.36,82.94,91.45,4.73,78.22,1,8.73,Высокая нагрузка
SYN-00694,2025-10-01,2024-08-07,,0,Казань,Удержание,Команда 06,14,Дневная,77.81,0.21,2,2,89.46,81.16,86.99,4.21,63.05,0,13.66,
SYN-00695,2025-02-17,2022-05-04,,0,Омск,Продажи,Команда 03,34,Смешанная,74.4,11.39,0,0,95.86,74.01,78.96,4.58,54.12,1,10.61,
SYN-00696,2026-01-16,2023-04-02,,0,Москва,Поддержка,Команда 09,34,Дневная,70.36,20.9,0,0,90.28,64.04,85.52,4.4,43.05,0,1.87,
SYN-00697,2025-11-10,2023-08-23,2025-11-27,1,Казань,Удержание,Команда 07,27,Ночная,98.23,21.55,3,0,86.74,78.6,87.35,4.25,59.76,0,12.43,Личные причины
SYN-00698,2025-02-16,2023-04-28,2025-04-30,1,Омск,Продажи,Команда 10,22,Дневная,95.62,17.66,6,5,79.68,80.96,84.16,4.48,70.74,1,7.46,Смена графика
SYN-00699,2025-05-12,2025-03-13,2025-06-02,1,Москва,Удержание,Команда 02,2,Смешанная,90.7,8.06,0,2,99.47,68.36,92.26,4.2,68.33,0,4.65,Смена графика
SYN-00700,2024-04-04,2021-09-17,,0,Омск,Удержание,Команда 04,31,Дневная,95.52,4.33,0,4,89.09,83.84,86.24,4.47,92.52,0,5.91,
SYN-00701,2024-10-13,2024-08-14,,0,Казань,Продажи,Команда 08,2,Ночная,103.55,11.1,2,6,82.95,89.16,89.33,4.27,61.55,0,11.48,
SYN-00702,2024-11-02,2020-01-28,,0,Казань,Удержание,Команда 02,58,Дневная,86.15,8.47,0,1,95.74,84.29,86.72,4.51,64.35,0,6.07,
SYN-00703,2025-01-02,2023-08-11,,0,Москва,Удержание,Команда 11,17,Смешанная,107.52,12.49,2,0,86.31,83.09,88.73,4.45,50.39,0,6.42,
SYN-00704,2026-01-06,2021-07-01,,0,Омск,Удержание,Команда 04,55,Ночная,94.04,17.65,1,2,94.28,94.25,88.71,4.29,65.52,0,7.91,
SYN-00705,2025-01-08,2020-12-30,,0,Москва,Поддержка,Команда 11,49,Ночная,95.9,12.62,1,1,95.05,75.82,83.62,4.43,66.37,0,6.4,
SYN-00706,2025-01-14,2022-05-30,,0,Москва,Удержание,Команда 07,32,Дневная,70.38,8.65,1,0,95.29,81.17,88.35,3.9,74.15,0,8.38,
SYN-00707,2026-01-05,2023-07-20,,0,Омск,Удержание,Команда 05,30,Смешанная,90.26,4.64,3,3,85.86,93.7,83.97,4.56,65.71,0,2.22,
SYN-00708,2024-06-01,2020-04-23,2024-07-22,1,Москва,Продажи,Команда 11,50,Дневная,101.5,0.84,2,2,93.33,72.57,92.44,4.03,49.96,0,9.79,Низкая вовлечённость
SYN-00709,2024-12-04,2022-03-20,,0,Омск,Продажи,Команда 12,33,Дневная,94.21,15.56,4,5,82.82,67.1,92.07,4.49,70.89,0,14.73,
SYN-00710,2025-08-07,2025-03-10,,0,Омск,Поддержка,Команда 09,5,Дневная,74.65,9.0,7,1,84.03,74.57,85.19,4.58,75.03,0,11.98,
SYN-00711,2026-02-14,2021-05-11,,0,Казань,Удержание,Команда 08,58,Дневная,86.42,0,0,1,87.41,76.63,79.57,4.7,74.64,0,12.08,
SYN-00712,2025-01-09,2021-05-30,,0,Москва,Удержание,Команда 03,44,Ночная,70.3,0.97,3,1,93.72,82.53,97.47,4.5,73.74,0,9.98,
SYN-00713,2024-09-14,2022-10-25,,0,Омск,Удержание,Команда 09,23,Смешанная,75.69,15.34,3,1,92.44,88.47,71.83,4.33,70.43,0,1.72,
SYN-00714,2025-10-11,2022-01-30,,0,Казань,Поддержка,Команда 11,45,Дневная,94.91,0,2,0,92.39,93.08,89.05,4.18,58.83,0,2.35,
SYN-00715,2025-04-12,2021-08-01,2025-06-15,1,Москва,Поддержка,Команда 08,45,Смешанная,76.25,14.52,1,1,89.92,76.22,81.22,4.47,68.76,0,6.22,Смена работодателя
SYN-00716,2024-01-07,2020-12-23,2024-03-09,1,Казань,Поддержка,Команда 02,37,Ночная,66.74,14.05,0,0,91.08,85.27,88.81,4.79,33.79,0,0.93,Низкая вовлечённость
SYN-00717,2024-05-01,2020-06-21,,0,Казань,Поддержка,Команда 05,47,Смешанная,84.0,10.81,2,1,93.55,80.88,82.2,4.14,94.01,0,6.7,
SYN-00718,2024-02-18,2019-03-16,,0,Казань,Продажи,Команда 07,60,Дневная,96.54,0,2,1,85.76,95.83,86.19,4.27,50.98,1,0,
SYN-00719,2024-05-19,2021-09-02,,0,Москва,Продажи,Команда 05,33,Дневная,73.57,9.8,5,2,85.2,67.02,87.09,4.48,69.68,0,5.73,
SYN-00720,2024-07-14,2023-04-21,,0,Казань,Продажи,Команда 06,15,Дневная,124.83,28.36,1,0,93.95,65.21,90.74,4.34,37.04,0,0.75,
SYN-00721,2024-01-14,2019-08-08,,0,Омск,Продажи,Команда 02,54,Дневная,124.96,8.94,0,2,95.15,87.24,74.26,3.74,56.76,0,9.1,
SYN-00722,2025-03-07,2021-06-26,,0,Москва,Поддержка,Команда 03,45,Дневная,77.51,12.83,1,1,94.8,59.04,79.36,4.2,77.96,0,9.15,
SYN-00723,2025-10-17,2025-09-17,,0,Москва,Продажи,Команда 09,1,Смешанная,89.95,18.64,1,0,91.66,72.55,82.69,4.11,40.06,1,7.05,
SYN-00724,2025-03-11,2021-12-27,2025-05-28,1,Москва,Удержание,Команда 06,39,Дневная,109.71,15.65,1,5,84.86,92.87,89.26,4.59,61.57,0,0,Смена графика
SYN-00725,2024-07-09,2023-02-15,,0,Казань,Поддержка,Команда 02,17,Дневная,91.84,3.16,0,2,96.96,92.52,83.14,3.96,69.04,0,6.43,
SYN-00726,2024-08-15,2020-03-09,,0,Казань,Поддержка,Команда 07,54,Дневная,97.62,15.18,8,0,83.57,89.18,96.71,4.31,87.34,0,2.41,
SYN-00727,2024-09-08,2022-01-22,,0,Москва,Удержание,Команда 12,32,Дневная,57.07,11.77,0,2,94.5,63.28,94.75,4.87,60.45,0,8.91,
SYN-00728,2024-08-18,2023-04-26,2024-10-04,1,Казань,Удержание,Команда 08,16,Ночная,91.71,6.14,0,0,86.78,91.13,78.43,4.79,56.17,0,4.04,Личные причины
SYN-00729,2026-02-21,2024-02-02,,0,Казань,Удержание,Команда 10,25,Ночная,94.09,2.24,0,1,93.02,95.88,82.78,4.34,90.39,0,3.38,
SYN-00730,2024-07-20,2021-10-04,,0,Омск,Поддержка,Команда 07,34,Дневная,84.33,9.57,0,0,99.76,87.75,93.32,5,83.84,0,9.84,
SYN-00731,2024-11-04,2021-04-24,2024-12-30,1,Омск,Продажи,Команда 02,43,Смешанная,109.74,19.0,13,1,78.38,97.06,77.38,4.84,45.33,1,6.83,Низкая вовлечённость
SYN-00732,2026-02-21,2021-12-14,,0,Москва,Удержание,Команда 07,51,Дневная,86.26,13.28,1,3,94.55,73.34,92.54,4.85,75.03,0,6.88,
SYN-00733,2025-09-07,2022-01-26,,0,Омск,Продажи,Команда 04,44,Дневная,89.17,14.24,1,3,90.08,88.22,86.73,3.73,74.01,0,11.36,
SYN-00734,2024-05-11,2020-10-29,,0,Омск,Поддержка,Команда 08,43,Дневная,81.13,5.44,1,3,94.12,83.46,91.94,4.79,56.53,1,9.19,
SYN-00735,2024-02-16,2020-09-04,,0,Казань,Удержание,Команда 12,42,Дневная,84.24,13.3,1,0,98.95,85.64,77.99,4.0,64.97,0,7.59,
SYN-00736,2025-05-12,2022-05-28,,0,Москва,Удержание,Команда 08,36,Смешанная,88.91,14.03,0,2,98.52,88.5,91.93,4.33,67.1,0,4.92,
SYN-00737,2024-09-14,2023-01-23,,0,Казань,Поддержка,Команда 07,20,Дневная,95.84,7.77,0,1,100,70.83,80.94,4.5,63.58,0,7.36,
SYN-00738,2024-08-11,2023-11-15,2024-10-06,1,Москва,Удержание,Команда 01,9,Ночная,88.22,15.84,0,0,97.45,86.73,89.49,4.42,79.46,0,4.15,Смена графика
SYN-00739,2025-09-04,2024-04-12,,0,Омск,Поддержка,Команда 02,17,Смешанная,93.05,13.81,6,1,86.93,71.56,87.82,4.96,53.36,0,5.93,
SYN-00740,2025-12-14,2024-07-22,2026-02-19,1,Омск,Продажи,Команда 10,17,Дневная,81.83,14.6,11,1,78.29,69.08,78.06,3.22,45.92,0,10.61,Низкая вовлечённость
SYN-00741,2025-06-02,2020-09-26,2025-06-17,1,Казань,Поддержка,Команда 05,57,Ночная,71.02,14.38,1,1,86.84,75.44,84.51,5,82.98,0,5.75,Смена графика
SYN-00742,2025-11-15,2025-09-16,,0,Омск,Поддержка,Команда 05,2,Дневная,82.77,1.03,0,0,97.78,84.57,82.06,4.18,85.47,0,5.39,
SYN-00743,2024-07-06,2022-02-17,,0,Москва,Удержание,Команда 10,29,Дневная,76.48,7.79,0,1,97.83,85.01,88.23,4.19,84.16,0,9.73,
SYN-00744,2024-08-18,2022-10-28,,0,Омск,Поддержка,Команда 04,22,Смешанная,91.13,9.74,0,2,91.18,69.88,94.23,4.36,59.33,1,14.62,
SYN-00745,2024-06-02,2021-05-19,,0,Омск,Удержание,Команда 02,37,Дневная,99.47,15.96,1,0,90.81,87.18,84.58,4.09,80.12,0,11.9,
SYN-00746,2025-06-03,2020-06-29,,0,Омск,Удержание,Команда 02,60,Смешанная,92.52,17.19,3,0,84.01,76.38,74.13,4.41,74.68,0,14.3,
SYN-00747,2025-03-02,2022-03-18,,0,Москва,Удержание,Команда 03,36,Дневная,74.33,1.98,0,0,88.61,66.29,98.83,4.37,47.85,0,14.41,
SYN-00748,2026-03-06,2022-07-25,,0,Казань,Поддержка,Команда 09,44,Дневная,55.45,2.37,4,0,96.15,88.67,79.6,4.65,76.57,0,2.0,
SYN-00749,2024-02-19,2022-10-27,,0,Омск,Поддержка,Команда 05,16,Смешанная,76.62,9.89,1,0,95.65,80.42,82.05,4.56,77.47,0,6.58,
SYN-00750,2025-12-07,2021-09-29,,0,Казань,Продажи,Команда 04,51,Дневная,88.13,4.83,0,0,90.7,78.94,99.87,4.63,74.73,0,0.57,
SYN-00751,2025-11-03,2024-09-09,,0,Омск,Поддержка,Команда 08,14,Смешанная,58.23,24.17,8,1,82.9,83.3,91.48,4.06,72.49,0,15.4,
SYN-00752,2025-09-16,2023-01-30,,0,Омск,Поддержка,Команда 04,32,Смешанная,86.8,6.45,1,0,97.88,75.36,93.37,4.46,76.33,0,0,
SYN-00753,2025-07-04,2024-06-09,,0,Москва,Продажи,Команда 05,13,Дневная,93.82,4.64,1,1,87.69,74.17,84.98,4.53,78.58,0,9.42,
SYN-00754,2024-06-17,2019-10-12,,0,Казань,Продажи,Команда 06,57,Дневная,95.79,23.13,1,1,89.02,83.36,81.02,4.43,43.46,0,2.63,
SYN-00755,2024-05-14,2021-09-27,,0,Омск,Продажи,Команда 02,32,Ночная,102.41,0,0,0,97.85,85.13,78.1,4.84,48.26,1,7.13,
SYN-00756,2026-01-21,2025-10-23,,0,Омск,Поддержка,Команда 11,3,Дневная,74.71,28.85,0,0,97.43,89.8,97.28,4.54,40.39,0,3.19,
SYN-00757,2025-04-21,2020-06-16,,0,Омск,Продажи,Команда 07,59,Ночная,97.82,1.14,4,2,90.89,90.88,90.34,4.31,92.67,0,9.0,
SYN-00758,2024-06-08,2021-07-24,2024-06-24,1,Казань,Продажи,Команда 01,35,Дневная,101.17,1.19,8,4,81.62,99.73,98.27,4.4,65.12,0,5.18,Личные причины
SYN-00759,2025-02-09,2023-12-17,,0,Москва,Поддержка,Команда 06,14,Дневная,74.93,11.64,0,4,86.73,88.59,87.14,4.56,83.54,0,10.17,
SYN-00760,2024-10-05,2021-04-24,,0,Казань,Продажи,Команда 10,42,Дневная,82.4,23.26,2,2,87.46,85.88,91.34,4.3,63.05,0,14.28,
SYN-00761,2025-02-14,2020-10-08,,0,Москва,Продажи,Команда 11,53,Ночная,75.61,0,0,0,96.71,92.28,92.21,4.78,82.2,0,6.69,
